name,born,died,page
"BLACKETT, CUTHBERT ROBERT  ",09 OCTOBER 1831,18 OCTOBER 1902),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/255
"BLACKWOOD, JOHN HUTCHISON  ",28 DECEMBER 1827,23 JANUARY 1908),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/311
"BLAIR, DAVID  ",04 JUNE 1820,19 FEBRUARY 1899),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/321
"BLOCK, ARTHUR FRANCIS KELLY   ",21 JUNE 1899,04 MARCH 1971),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1033
"BLOCK, PETER DAVID  ",27 MAY 1935,19 OCTOBER 1992),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1034
"BLOOMFIELD, JOHN STOUGHTON  ",09 OCTOBER 1901,30 JUNE 1989),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1036
"BOARD, GEORGE  ",26 DECEMBER 1817,1872),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/215
"BOARDMAN, BLAIR   ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1684
"BODMAN, HENRY GEORGE  ",08 FEBRUARY 1864,02 NOVEMBER 1927),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1037
"BOLSTER, GEORGE  ",09 SEPTEMBER 1877,26 OCTOBER 1948),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1038
"BOLTE, HENRY EDWARD  ",20 MAY 1908,04 JANUARY 1990),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1041
"BOLTON, HENRY  ",1842,29 MARCH 1900),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/216
"BOND, ERNEST EDWARD  ",29 JUNE 1897,25 JULY 1984),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1042
"BORNSTEIN, DAVID LEON FRANK  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1045
"BORTHWICK, ALEXANDER HAY  ",27 MAY 1884,05 MAY 1942),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1039
"BORTHWICK, WILLIAM ARCHIBALD  ",20 NOVEMBER 1924,31 JULY 2001),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1050
"BOSISTO, JOSEPH  ",21 MARCH 1824,08 NOVEMBER 1898),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/360
"BOURCHIER, GEORGE ENRIGHT  ",19 FEBRUARY 1840,18 MARCH 1889),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/361
"BOURCHIER, MURRAY WILLIAM JAMES  ",04 APRIL 1881,16 DECEMBER 1937),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1054
"BOURKE, LAWRENCE  ",NOVEMBER 1812,15 JANUARY 1875),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/362
"BOURKE, JOHN PETER  ",30 JUNE 1901,19 OCTOBER 1970),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1040
"BOWDEN, RONALD HENRY  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/210
"BOWMAN, ROBERT  ",1831,01 DECEMBER 1893),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/363
"BOWSER, JOHN  ",26 AUGUST 1856,10 JUNE 1936),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/364
"BOYD, JAMES ARTHUR  ",07 JULY 1867,12 APRIL 1941),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1059
"BOYLAND, WILLIAM JAMES  ",01 JUNE 1885,25 JULY 1967),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1060
"BRACKS, STEPHEN PHILLIP  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/213
"BRADBURY,  KEITH  ",01 AUGUST 1905,21 AUGUST 1988),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1061
"BRADSHAW, CHARLES  ",16 FEBRUARY 1813,23 FEBRUARY 1869),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/365
"BRAKE, JAMES HUGH  ",06 AUGUST 1853,29 JULY 1915),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/366
"BRAWN, FREDERICK WILLIAM  ",21 NOVEMBER 1857,24 JULY 1936),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1063
"BRENNAN, THOMAS WILLIAM  ",07 APRIL 1900,29 OCTOBER 1966),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1068
"BRIDESON, ANDREW  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/214
"BRIDGFORD, CHARLES HAIG  ",08 OCTOBER 1910,04 JANUARY 1993),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1062
"BROAD, HENRY   ",04 MAY 1910,17 AUGUST 2001),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1073
"BROAD, CANDY CELESTE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/217
"BROCK, JOHN  ",18 MAY 1850,03 NOVEMBER 1912),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/367
"BRODIE, GEORGE  ",1833,03 NOVEMBER 1872),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/368
"BRODRIBB, KENRIC EDMUND  ",21 MARCH 1825,03 JULY 1898),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/369
"BRODRIBB, WILLIAM ADAMS  ",27 MAY 1809,31 MAY 1886),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/370
"BROMELL, THOMAS  ",1832,09 OCTOBER 1887),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/371
"BROMLEY, FREDERICK HADKINSON  ",30 NOVEMBER 1854,29 SEPTEMBER 1908),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/372
"BROOKE, JOHN HENRY  ",15 MAY 1826,08 JANUARY 1902),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/373
"BROPHY, DANIEL  ",13 NOVEMBER 1832,10 MAY 1895),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/374
"BROSE, RICHARD KEATS  ",06 MAY 1897,14 MAY 1969),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1074
"BROWN, GEORGE  ",1807,14 AUGUST 1881),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/376
"BROWN, FREDERICK  ",22 MAY 1829,09 JULY 1903),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/375
"BROWN, JOSEPH TILLEY  ",07 FEBRUARY 1844,28 SEPTEMBER 1925),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/377
"BROWN, JAMES DRYSDALE  ",21 APRIL 1850,05 APRIL 1922),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1076
"BROWN, ALAN JOHN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1075
