name,page,house,elected,electorate,retired
"Duncan, Ms Wendy Maxine",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/8B90223BFB88902848257C77000EB7B1?OpenDocument#current,MLC MLA,29 January 2008,Kalgoorlie,2017
"Dunn, Kenneth Wathen",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/D1FC6AC74F021D32482577E50028A5CB?OpenDocument#current,MLA,31 March 1962,Darling Range,1971
"Durack, Michael Patrick",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/3A6DDDE9BAB16F40482577E50028A5CC?OpenDocument#current,MLA,9 November 1917,Kimberley,1924
"Durack, Peter Drew",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/5C45731D8DDD031A482577E50028A5CD?OpenDocument#current,MLA,20 February 1965,Perth,1968
"Dwyer, Walter",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/081C647C1076D7FE482577E50028A5CE?OpenDocument#current,MLA,3 October 1911,Perth,1914
"Eaton, Hon Shelley Elizabeth",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/01585212463D919D48257CD80021BD63?OpenDocument#current,MLC,17 September 2008,Mining and Pastoral,2009
"Eddy, William Tresize",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/938FE3EE38C1EC4E482577E50028A5CF?OpenDocument#current,MLA,27 October 1905,Coolgardie,1908
"Edman, Hon Phillip (Phil) John",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/37AD5CECE3BB9CFC48257C770013B1E2?OpenDocument#current,MLC,22 May 2009,South Metropolitan,2017
"Edwardes, Mrs Cheryl Lynn",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/33F32A6C21A0A4BB482577E50028A5D0?OpenDocument#current,MLA,4 February 1989,Kingsley,2005
"Edwards, Hon Graham John",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/7E25D239CAB6E39D482577E50028A5D2?OpenDocument#current,MLC,22 May 1983,North Metropolitan,1997
"Edwards, Mr Jeremy Philip Dalhousie",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/D1E74ED3141F8287482577E50028A5D3?OpenDocument#current,MLA,10 February 2001,Greenough,2005
"Edwards, Dr Judith (Judy) Mary",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/81B36DE4DDCFE3BF482577E50028A5D1?OpenDocument#current,MLA,26 May 1990,Maylands,2008
"Ellery, Hon Suzanne (Sue) Mary",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/87F88040AB489B6548257C75000D409E?OpenDocument#current,MLC,22 May 2001,South Metropolitan,
"Elliott, Charles George",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/1D20EA1816914D69482577E50028A5D5?OpenDocument#current,MLC,17 March 1934,North-East,1938
"Elliott, Lyla Daphne",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/F945E1AF49D04D8B482577E50028A5D6?OpenDocument#current,MLC,22 May 1971,North-East Metropolitan,1986
"Elliott, Ross Mewburn",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/CCCE026403EF6246482577E50028A5D7?OpenDocument#current,MLA,20 February 1965,Canning,1968
"Elliott, Samuel Richard Lewes (Lewis)",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/0634BE278106A07A482577E50028A5D8?OpenDocument#current,MLA,15 November 1913,Geraldton,1917
"Ellis, Hon Brian Charles",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/7A0749154EA963FE48257C770013C711?OpenDocument#current,MLC,16 July 2007,Agricultural,2017
"Ellis, Henry Augustus",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/7AB5B6C8688DE8CC482577E50028A5D9?OpenDocument#current,MLA,28 June 1904,Coolgardie,1905
"Embry, Hon Patrick (Paddy) Paul Elliot",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/05960D85B2F2C7EC482577E50028A5DA?OpenDocument#current,MLC,22 May 2001,South West,2005
"Evangel, Ms Eleni",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/4373EBA4D7C7725448257CB600268624?OpenDocument#current,MLA,9 March 2013,Perth,2017
"Evans, Edward Thomas",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/E3945A19EF53D63F482577E50028A5DB?OpenDocument#current,MLA,23 February 1980,Kalgoorlie,1981
"Evans, Hon George (Max) Maxwell",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/68A9A288FB74B8DC482577E50028A5DC?OpenDocument#current,MLC,22 May 1986,Metropolitan,2001
"Evans, Hywel David",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/560DAD1638E4FC38482577E50028A5DD?OpenDocument#current,MLA,23 March 1968,Warren,1989
"Evans, Thomas Daniel",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/9F7EDBBF460122A3482577E50028A5DE?OpenDocument#current,MLA,7 April 1956,Kalgoorlie,1980
"Evers, Hon Diane Marie",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/3A7F05F2BB72B51E482580F200262DB9?OpenDocument#current,MLC,11 March 2017,South West,
"Ewing, John",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/C307DDFD1F8D93F6482577E50028A5DF?OpenDocument#current,MLA MLC,28 April 1901,South-West Mining,1933
"Ewing, Norman Kirkwood",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/97C042F74E70E302482577E50028A5E1?OpenDocument#current,MLA,4 May 1897,Swan,1904 (WA)
"Faragher, Hon Donna Evelyn Mary",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/85F799690D4FD51F48257C75000D4F51?OpenDocument#current,MLC,22 May 2005,East Metropolitan,
